i-value,data-handle,barlength
0,N,3
1,N,3
2,N,3
3,N,3
4,E:min,3
5,E:min,3
6,E:min,3
7,E:min,3
8,E:min,3
9,E:min,3
10,G:maj,3
11,G:maj,3
12,G:maj,3
13,G:maj,3
14,G:maj,3
15,G:maj,3
16,C:maj7,3
17,C:maj7,3
18,C:maj7,3
19,C:maj,3
20,C:maj,3
21,C:maj,3
22,C:maj,3
23,C:maj,3
24,C:maj,3
25,C:maj,3
26,C:maj,3
27,C:maj,3
28,E:min,3
29,E:min,3
30,E:min,3
31,E:min,3
32,E:min,3
33,E:min,3
34,G:maj,3
35,G:maj,3
36,G:maj,3
37,G:maj,3
38,G:maj,3
39,G:maj,3
40,C:maj,3
41,C:maj,3
42,C:maj,3
43,G:maj,3
44,G:maj,3
45,G:maj,3
46,C:maj7,3
47,C:maj7,3
48,C:maj7,3
49,E:maj,3
50,E:maj,3
51,E:maj,3
52,E:min,3
53,E:min,3
54,E:min,3
55,E:min,3
56,E:min,3
57,E:min,3
58,G:maj,3
59,G:maj,3
60,G:maj,3
61,G:maj,3
62,G:maj,3
63,G:maj,3
64,C:maj,3
65,C:maj,3
66,C:maj,3
67,C:maj,3
68,C:maj,3
69,C:maj,3
70,C:maj,3
71,C:maj,3
72,C:maj,3
73,E:maj,3
74,G:maj,3
75,G:maj,3
76,G:maj,3
77,E:maj,3
78,E:maj,3
79,E:min,3
80,E:min,3
81,E:min,3
82,E:min,3
83,E:min,3
84,E:min,3
85,E:min,3
86,E:min,3
87,E:min,3
88,E:min,3
89,E:min,3
90,G:maj,3
91,G:maj,3
92,G:maj,3
93,E:maj,3
94,C:maj,3
95,C:maj,3
96,C:maj,3
97,C:maj,3
98,C:maj,3
99,C:maj,3
100,E:min,3
101,E:min,3
102,E:min,3
103,E:min,3
104,E:min,3
105,E:min,3
106,G:maj,3
107,G:maj,3
108,G:maj,3
109,G:maj,3
110,G:maj,3
111,G:maj,3
112,C:maj,3
113,C:maj,3
114,C:maj,3
115,C:maj,3
116,C:maj,3
117,C:maj,3
118,C:maj,3
119,C:maj,3
120,C:maj,3
121,C:maj,3
122,C:maj,3
123,C:maj,3
124,E:min,3
125,E:min,3
126,E:min,3
127,E:min,3
128,E:min,3
129,E:min,3
130,G:maj,3
131,G:maj,3
132,G:maj,3
133,G:maj,3
134,G:maj,3
135,G:maj,3
136,C:maj,3
137,C:maj,3
