song_name,song_url
Love Story,/chords/taylor-swift-songs/love-story-chords
Exile,/chords/taylor-swift-featuring-bon-iver-songs/exile-chords
You Belong With Me 3,/chords/taylor-swift-songs/you-belong-with-me-3-chords
22,/chords/taylor-swift-songs/22-chords
Run Taylor S Version From The Vault,/chords/taylor-swift-feat-ed-sheeran-songs/run-taylor-s-version-from-the-vault-chords
Lover 2,/chords/taylor-swift-songs/lover-2-chords
Blank Space,/chords/taylor-swift-songs/blank-space-chords
All Too Well 10 Minute Version Taylor S Version From The Vault,/chords/taylor-swift-songs/all-too-well-10-minute-version-taylor-s-version-from-the-vault-chords
Shake It Off Music Video,/chords/taylor-swift-songs/shake-it-off-music-video-chords
Wildest Dreams,/chords/taylor-swift-songs/wildest-dreams-chords
Anti Hero 2,/chords/taylor-swift-songs/anti-hero-2-chords
Anti Hero,/chords/taylor-swift-songs/anti-hero-chords
Message In A Bottle Taylor S Version From The Vault,/chords/taylor-swift-songs/message-in-a-bottle-taylor-s-version-from-the-vault-chords
Everything Has Changed 2,/chords/taylor-swift-songs/everything-has-changed-2-chords
Style 3,/chords/taylor-swift-songs/style-3-chords
Back To December,/chords/taylor-swift-songs/back-to-december-chords
August,/chords/taylor-swift-songs/august-chords
Willow,/chords/taylor-swift-songs/willow-chords
I Knew You Were Trouble 2,/chords/taylor-swift-songs/i-knew-you-were-trouble-2-chords
Opening,/chords/taylor-swift-songs/opening-chords
Look What You Made Me Do 2,/chords/taylor-swift-songs/look-what-you-made-me-do-2-chords
Stay Stay Stay Taylor S Version,/chords/taylor-swift-songs/stay-stay-stay-taylor-s-version-chords
Cruel Summer,/chords/taylor-swift-songs/cruel-summer-chords
You Need To Calm Down,/chords/taylor-swift-songs/you-need-to-calm-down-chords
Me,/chords/taylor-swift-featuring-brendon-urie-of-panic-at-the-disco-songs/me-chords
Our Song,/chords/taylor-swift-songs/our-song-chords
Champagne Problems 2,/chords/taylor-swift-songs/champagne-problems-2-chords
Mean 2,/chords/taylor-swift-songs/mean-2-chords
